SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
G32,2024-04-13 16:54:04.426042,4435589.905706279,3083382.496370631,3375037.779683112,21484682.882978268,41.1
G02,2024-04-13 16:54:05.426042,4436899.661043873,3085243.4865880073,3376313.809981079,22878907.292279832,42.4
G03,2024-04-13 16:54:05.426042,4436913.704505029,3085257.5374433966,3376322.87956166,23989873.066347312,28.8
G08,2024-04-13 16:54:05.426042,4436886.902044498,3085254.060408447,3376313.681478982,21165463.886039324,48.3
G10,2024-04-13 16:54:05.426042,4435385.864925005,3083045.314700912,3375209.5850486644,22847489.32695391,38.6
G21,2024-04-13 16:54:05.426042,4435379.561096994,3083052.0526749967,3375215.240456597,21662150.724879917,47.1
G27,2024-04-13 16:54:05.426042,4436885.553376983,3085273.2131980164,3376322.025058516,22228672.741807304,36.9
G32,2024-04-13 16:54:05.426042,4436884.114267465,3085279.9561268147,3376316.900726005,21487310.571665946,47.4
G03,2024-04-13 16:54:05.426042,4435566.023300629,3083418.162913012,3375042.6514011733,23987545.800608244,23.0
G08,2024-04-13 16:54:05.426042,4436888.737701036,3085274.9081543433,3376326.338199156,21163114.388722852,44.2
G10,2024-04-13 16:54:05.426042,4438991.78731576,3086184.119162397,3377173.413179451,22845140.73704876,32.4
G27,2024-04-13 16:54:05.426042,4436903.465437356,3085282.2301283153,3376326.220437744,22226312.774360187,35.1
G28,2024-04-13 16:54:05.426042,4437289.692908307,3084259.521582264,3375507.9034955986,23808784.653269038,28.4
G32,2024-04-13 16:54:05.426042,4438633.836276982,3086010.9769444806,3376805.5368390433,21484963.796583444,40.5
G02,2024-04-13 16:54:06.426042,4436886.56100968,3085270.5509333787,3376324.736788444,22878441.406366616,42.6
